_id,STOP_DATE,AGENCY NAME,LOCATION,JURISDICTION,REASON FOR STOP,PERSON TYPE,RACE,ETHNICITY,AGE,GENDER,ENGLISH SPEAKING,ACTION TAKEN,SPECIFIC VIOLATION,VIRGINIA CRIME CODE,PERSON SEARCHED,VEHICLE SEARCHED,ADDITIONAL ARREST,FORCE USED BY OFFICER,FORCE USED BY SUBJECT,RESIDENCY,VIOLATION TYPE
230342,5/7/2023 0:00,Charlottesville Police Department,1254 EMMET ST,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,21,Male,Y,Citation/Summons,46.2-864,,N,N,,N,N,Resident of city/county of stop,
230343,5/6/2023 0:00,Charlottesville Police Department,BRNDYWINE AT GREENBRIER,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,31,Male,Y,Citation/Summons,46.2-878.2,,N,N,,N,N,Resident of city/county of stop,
230344,5/6/2023 0:00,Charlottesville Police Department,BYPASS WB MCINTIRE PK EX,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,20,Male,Y,Citation/Summons,46.2-875,,N,N,,N,N,Resident of city/county of stop,
230345,5/6/2023 0:00,Charlottesville Police Department,1951 BRANDYWINE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,30,Male,Y,Citation/Summons,46.2-878.2,,N,N,,N,N,Out of State resident,
230346,5/5/2023 0:00,Charlottesville Police Department,OLD LYNCHBURG RD AT MIDDLETON LN,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,28,Male,Y,Citation/Summons,46.2-646,,N,N,,N,N,Other Virginia jurisdiction resident,
230347,5/5/2023 0:00,Charlottesville Police Department,1104 GRADY AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,25,Male,Y,Citation/Summons,46.2-301,,N,N,,N,N,Resident of city/county of stop,
230348,5/5/2023 0:00,Charlottesville Police Department,GRADY AVE AT RUGBY RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,49,Male,Y,Warning Issued,46.2-835,,N,N,,N,N,Resident of city/county of stop,
230349,5/3/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,18,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230350,5/3/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,28,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230351,5/3/2023 0:00,Charlottesville Police Department,PRESTON AVE AT ROSE HILL DR,Charlottesville (103),Traffic Violation,Passenger,White,Non-Hispanic or Latino,18,Female,Y,Citation/Summons,46.2-863,,N,N,,N,N,Other Virginia jurisdiction resident,
230352,5/3/2023 0:00,Charlottesville Police Department,RIDGE ST/ELLIOTT AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,22,Male,Y,Warning Issued,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230353,5/3/2023 0:00,Charlottesville Police Department,1300 CARLTON AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,44,Male,Y,Warning Issued,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230354,5/3/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,52,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230355,4/28/2023 0:00,Charlottesville Police Department,1900 EMMET ST,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,47,Male,Y,Warning Issued,46.2-821,,N,N,,N,N,Other Virginia jurisdiction resident,
230356,5/4/2023 0:00,Charlottesville Police Department,900 ELLIOTT AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,62,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230357,5/4/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,70,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Other Virginia jurisdiction resident,
230358,5/4/2023 0:00,Charlottesville Police Department,1500 E HIGH ST,Charlottesville (103),Calls for Service,Driver,Asian or Native Hawaiian or Other Pacific Islander,Non-Hispanic or Latino,43,Female,Y,Citation/Summons,46.2-804,,N,N,,N,N,Resident of city/county of stop,
230359,5/4/2023 0:00,Charlottesville Police Department,600 RUGBY RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,43,Male,Y,Citation/Summons,46.2-646,,N,N,,N,N,Other Virginia jurisdiction resident,
230360,5/4/2023 0:00,Charlottesville Police Department,1600 GROVE RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,49,Male,Y,Citation/Summons,46.2-830,,N,N,,N,N,Resident of city/county of stop,
230361,5/4/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,31,Male,Y,Citation/Summons,46.2-862(I),,N,N,,N,N,Other Virginia jurisdiction resident,
230362,5/4/2023 0:00,Charlottesville Police Department,W MARKET AT MCINTIRE RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,20,Female,Y,Warning Issued,46.2-1011,,N,N,,N,N,Other Virginia jurisdiction resident,
