STOP DATE,AGENCY NAME,JURISDICTION,REASON FOR STOP,PERSON TYPE,RACE,ETHNICITY,AGE,GENDER,ENGLISH SPEAKING,ACTION TAKEN,SPECIFIC VIOLATION,VIRGINIA CRIME CODE,PERSON SEARCHED,VEHICLE SEARCHED,ADDITIONAL ARREST,FORCE USED BY OFFICER,RESIDENCY
7/3/2020,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,18.2-174,,,,,,
7/4/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,,,,,,,,
7/9/2020,Charlottesville Police Department,CHARLOTTESVILLE,OTHER INVESTIGATIVE DETENTION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
7/11/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,,,,,
7/14/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,,,,,
7/14/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,,,,,,,,
7/20/2020,Charlottesville Police Department,CHARLOTTESVILLE,EQUIPMENT VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,46.2-715,,NO,NO,NO,,
7/27/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
7/28/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
7/31/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,WARNING ISSUED,,,,,,,
8/1/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
8/14/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,,,,,,,,
8/16/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
8/19/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
8/20/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,NOT HISPANIC OR LATINO,0,MALE,,NO ENFORCEMENT ACTION,46.2-894,,NO,YES,NO,,
8/30/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
8/30/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,,,,,,,,
9/3/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,,CITATION/SUMMONS,46.2-830,,NO,NO,NO,,
9/9/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,FEMALE,,NO ENFORCEMENT ACTION,46.2-821,,NO,NO,NO,,
9/26/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,NO ENFORCEMENT ACTION,,,NO,NO,NO,,
9/30/2020,Charlottesville Police Department,CHARLOTTESVILLE,,,UNKNOWN,UNKNOWN,0,,,,,,,,,,
10/19/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
11/13/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,FEMALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
12/18/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,,CITATION/SUMMONS,46.2-707,,NO,NO,NO,,
1/22/2021,Charlottesville Police Department,CHARLOTTESVILLE,EQUIPMENT VIOLATION,,WHITE,HISPANIC OR LATINO,0,FEMALE,,WARNING ISSUED,46.2-1003,,NO,NO,NO,,
2/4/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,NOT HISPANIC OR LATINO,0,MALE,,WARNING ISSUED,46.2-821,,NO,NO,NO,,
2/9/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,UNKNOWN,0,MALE,,CITATION/SUMMONS,46.2-830,,NO,NO,NO,,
2/24/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,CITATION/SUMMONS,46.2-874,,NO,NO,NO,,
3/3/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,CITATION/SUMMONS,46.2-646,,NO,NO,NO,,
3/21/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,CITATION/SUMMONS,46.2-816,,NO,NO,NO,,
3/21/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,UNKNOWN,0,MALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
3/24/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,UNKNOWN,0,MALE,,CITATION/SUMMONS,46.2-830,,NO,NO,NO,,
3/29/2021,Charlottesville Police Department,CHARLOTTESVILLE,EQUIPMENT VIOLATION,,UNKNOWN,UNKNOWN,0,MALE,,WARNING ISSUED,46.2-1030,,NO,NO,NO,,
4/2/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,BLACK OR AFRICAN AMERICAN,UNKNOWN,0,MALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
4/7/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,UNKNOWN,0,MALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
6/10/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,0,,,CITATION/SUMMONS,46.2-300,,NO,NO,NO,,
7/12/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,UNKNOWN,UNKNOWN,0,FEMALE,YES,WARNING ISSUED,46.2-806,MOV6458I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
7/20/2021,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-57,,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
9/12/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,0,MALE,,ARREST,18.2-266,,YES,,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
9/20/2021,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,DRIVER,WHITE,HISPANIC OR LATINO,0,MALE,NO,ARREST,18.2-266,,YES,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
10/13/2021,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,OTHER INDIVIDUAL,UNKNOWN,UNKNOWN,0,MALE,,NO ENFORCEMENT ACTION,18.2-388,,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
10/17/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,UNKNOWN,UNKNOWN,0,MALE,YES,ARREST,18.2-388,,YES,YES,,NO,OUT OF STATE RESIDENT
11/27/2021,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-388,,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
2/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-57,,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
2/10/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,UNKNOWN,0,FEMALE,YES,NO ENFORCEMENT ACTION,16.1-340,,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
5/9/2022,Charlottesville Police Department,103,TERRY STOP,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-96,LAR2367M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
5/10/2022,Charlottesville Police Department,103,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,YES,ARREST,18.2-95,LAR2361F9,YES,YES,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
5/14/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,DRIVER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,ARREST,18.2-266,DWI5443M1,YES,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
6/19/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-95,LAR2361F9,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
6/26/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,ARREST,18.2-57.2,ASL1315M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/3/2022,Charlottesville Police Department,103,TRAFFIC VIOLATION,PASSENGER,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,46.2-862,REC6646M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/6/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,PASSENGER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-119,LAR2366M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/6/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,PASSENGER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-119,LAR2366M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/6/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,PASSENGER,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-119,LAR2366M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
8/30/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-57.2,ASL1315M1,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
9/28/2022,Charlottesville Police Department,103,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,CITATION/SUMMONS,46.2-646,,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
10/23/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-32,,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
10/23/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-32,,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
10/23/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-32,,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
10/23/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-32,,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
10/23/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-32,,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
10/29/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,PASSENGER,WHITE,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,46.2-301,LIC6809M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
